category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Nikola Tesla,77,12,21,3,0,57,1,0,107,0,50,39,16,8,34,0,0,2,0,52,0,8,34,20,0,42,0,91,3,179,8,16,4,34,10,14,193,3,124,26,3,0,4,7,0,9,3,132,19,119,0,183,9,33,0,13,2,0,5,9,9,14,82,41,0,19,87,5,7,55,1,1,0,114,50,52,19,35,169,12,1,83,41,140
Oda Nobunaga,22,6,1,3,0,1,5,0,3,0,3,15,2,18,3,4,0,7,0,2,0,3,1,1,0,10,9,1,0,4,5,9,0,0,1,1,2,14,5,0,17,0,27,21,0,0,0,13,4,4,0,2,0,2,0,9,0,5,0,3,0,0,14,17,0,3,3,1,0,1,21,1,2,2,1,20,3,5,50,0,2,3,1,3
Pandora,30,14,6,1,0,2,0,0,6,0,1,3,95,11,3,0,0,0,0,6,0,72,10,1,0,2,0,8,0,14,0,5,1,3,5,0,9,2,14,1,1,0,1,19,0,1,1,16,99,0,0,40,0,11,0,4,2,9,3,0,1,2,11,1,0,0,2,1,0,30,0,2,0,42,4,11,1,4,20,7,0,0,14,60
Philippa,8,7,34,9,0,5,0,0,2,0,6,3,1,18,36,0,0,2,0,9,0,1,66,1,0,24,2,1,1,5,24,9,2,65,29,0,5,2,51,7,1,0,2,0,0,0,0,17,3,5,0,38,0,8,0,1,1,9,0,1,0,0,17,20,0,9,2,2,0,7,3,0,1,3,10,44,16,14,39,13,1,1,38,41
Raphael,1,10,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,14,2,0,0,2,0,0,28,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,24,21,3,7,0,0,1,34,0,0,1,17,14,0,2,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,20,0,1,5,0,0,1,1,0
Raptors,37,29,33,4,0,30,13,0,42,0,21,71,5,20,14,5,0,16,0,38,0,4,65,26,0,45,3,2,0,19,16,60,19,3,31,38,56,15,21,61,8,0,14,8,0,0,1,116,3,20,0,27,0,76,0,23,0,82,14,11,17,0,0,57,0,25,23,74,0,35,5,12,1,34,25,82,29,71,75,5,2,39,10,72
Robin Hood,103,58,4,8,0,26,39,0,63,0,19,32,5,27,96,17,0,38,0,81,0,2,12,21,0,18,3,8,1,19,46,95,24,32,5,8,19,11,40,27,35,0,19,33,0,0,2,99,3,19,0,78,0,29,0,16,0,41,17,1,20,0,57,0,0,27,9,28,0,77,7,7,2,65,23,63,30,17,63,2,3,31,4,100
Robin Hood - Alt 1.0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Shakespeare,38,29,10,2,0,76,15,0,21,0,23,11,2,10,18,1,0,2,0,9,0,2,1,17,0,28,1,2,0,6,1,16,3,4,19,1,8,20,9,8,1,0,1,4,0,0,1,41,1,25,0,3,0,40,0,20,1,19,3,0,9,0,25,27,0,0,8,2,0,29,4,0,0,3,17,11,39,66,30,3,1,4,1,1
She-Hulk,92,16,8,0,0,10,6,0,99,0,37,36,0,8,3,0,0,0,0,6,0,2,4,0,0,54,1,104,0,41,2,15,16,7,2,13,64,3,73,21,3,0,4,1,0,0,0,31,3,124,0,80,0,76,0,10,0,87,3,2,2,1,23,9,0,8,0,11,2,25,20,0,1,83,109,5,4,5,52,0,0,59,14,81
Sherlock Holmes,22,8,6,3,0,18,14,0,40,0,28,28,4,5,15,2,0,3,0,19,0,1,1,2,0,13,2,21,0,5,11,26,20,2,2,18,13,3,59,29,10,0,8,6,0,0,0,42,0,11,0,71,0,15,0,3,0,5,1,1,2,0,74,28,0,2,11,0,0,44,0,2,0,64,28,31,3,28,17,0,0,59,14,42
