category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Sinbad,64,55,60,25,0,51,17,100,77,60,41,34,46,29,55,0,100,40,100,22,75,63,60,58,0,35,0,83,-2,52,49,75,76,67,20,50,44,34,65,78,8,0,41,46,0,-2,100,19,52,71,-2,70,-2,61,-2,38,-2,44,0,67,43,100,29,43,50,69,56,57,100,-2,0,25,67,84,59,32,29,58,46,33,0,58,12,8
Spider-Man,57,25,67,0,-2,75,80,-2,57,-2,43,53,0,83,48,25,-2,73,-2,43,-2,0,100,56,-2,71,70,85,-2,100,43,70,0,75,90,100,75,45,75,100,71,-2,26,40,-2,-2,-2,93,40,71,-2,-2,50,92,-2,25,0,0,48,-2,67,-2,80,43,-2,25,60,-2,-2,100,-2,40,85,100,67,25,86,50,91,100,14,50,100,80
Spike,100,75,-2,57,-2,100,50,-2,50,-2,0,-2,-2,50,67,100,-2,50,-2,0,-2,-2,-2,0,-2,-2,50,-2,-2,-2,100,100,50,-2,-2,100,50,100,100,75,100,-2,57,50,-2,-2,-2,100,100,80,-2,-2,-2,50,-2,33,-2,0,100,50,-2,-2,75,71,-2,-2,-2,100,-2,75,60,-2,50,100,-2,67,-2,0,50,100,67,0,-2,100
Squirrel Girl,75,67,100,43,-2,50,100,-2,67,-2,33,-2,-2,35,61,33,-2,100,-2,67,-2,-2,-2,71,-2,100,63,50,-2,100,100,100,0,0,0,67,0,100,0,50,40,-2,81,20,-2,-2,-2,40,-2,100,-2,-2,50,-2,-2,40,-2,-2,50,-2,0,-2,100,50,-2,-2,0,-2,-2,33,15,50,-2,100,33,40,100,-2,100,-2,29,100,-2,67
Sun Wukong,22,9,43,-2,-2,10,20,-2,18,-2,44,49,43,18,61,67,-2,0,-2,31,-2,19,36,0,-2,67,-2,79,-2,38,31,28,86,13,33,50,30,-2,49,21,0,-2,0,20,-2,-2,-2,42,31,38,-2,71,-2,10,-2,0,-2,58,0,50,33,-2,29,48,-2,0,51,55,-2,16,0,0,0,-2,71,35,0,21,9,-2,0,57,62,63
T. Rex,58,55,6,-2,-2,60,29,-2,61,-2,57,15,-2,0,59,33,-2,0,-2,12,-2,0,38,75,-2,50,0,25,-2,44,69,21,85,38,58,4,43,0,46,41,33,-2,0,33,-2,-2,-2,35,-2,36,-2,45,0,43,-2,50,-2,36,100,50,0,-2,24,4,-2,24,54,43,-2,41,33,-2,67,29,-2,50,44,59,34,-2,0,10,33,45
The Genie,85,56,52,33,-2,39,69,-2,86,-2,52,55,46,52,57,100,-2,100,-2,32,-2,27,62,47,-2,27,71,75,0,76,70,41,50,51,38,31,79,0,50,45,33,-2,33,29,-2,57,25,60,41,88,-2,73,0,70,-2,70,0,69,65,27,41,29,37,41,-2,45,80,55,67,68,75,33,60,65,50,-2,61,65,46,33,-2,45,56,70
The Wayward Sisters,65,67,36,100,-2,39,100,-2,70,-2,100,36,100,50,53,-2,-2,0,-2,50,-2,100,0,0,-2,69,67,100,0,67,63,33,-2,60,47,0,33,33,58,20,0,-2,33,100,-2,-2,-2,74,40,69,-2,50,-2,78,-2,57,50,53,33,100,44,-2,69,63,-2,41,75,33,100,71,14,-2,0,100,56,39,-2,69,54,73,-2,0,20,88
Titania,62,50,47,100,-2,44,0,-2,78,-2,57,62,86,75,0,0,-2,100,-2,43,-2,75,80,0,-2,50,-2,38,0,63,57,60,100,58,47,33,67,40,60,52,0,-2,33,0,-2,-2,100,61,71,61,-2,79,0,60,38,100,0,49,20,50,71,100,68,53,-2,45,60,39,50,42,50,100,-2,79,41,35,31,-2,52,100,0,38,60,75
Tomoe Gozen,65,50,43,0,0,67,50,100,68,-2,39,29,55,58,56,0,-2,-2,-2,26,0,58,41,67,75,18,50,54,57,43,38,35,100,67,53,15,39,75,65,47,-2,0,44,0,0,0,22,58,49,71,-2,74,50,40,-2,33,0,43,52,58,51,75,63,48,0,33,27,65,100,54,9,50,0,91,66,54,46,48,-2,89,0,23,58,67
Triss,44,-2,33,-2,-2,50,-2,-2,33,-2,-2,20,-2,0,0,-2,-2,-2,-2,-2,-2,57,45,-2,-2,75,-2,100,-2,43,-2,0,100,41,38,-2,100,33,82,-2,100,-2,-2,-2,-2,-2,-2,50,33,47,-2,40,-2,-2,-2,-2,0,33,-2,43,46,-2,60,50,-2,67,-2,-2,-2,67,0,0,-2,-2,-2,67,27,0,11,-2,-2,100,-2,33
Willow,67,100,-2,50,-2,0,100,-2,75,-2,-2,-2,100,100,100,67,-2,100,-2,100,-2,-2,-2,-2,-2,50,50,-2,-2,-2,-2,100,-2,-2,-2,100,-2,-2,100,50,83,-2,54,56,-2,-2,-2,100,100,100,-2,-2,-2,100,-2,100,-2,100,100,-2,100,-2,50,67,-2,100,-2,-2,-2,100,86,33,71,100,100,-2,-2,100,100,-2,-2,-2,100,100
Winter Soldier,75,57,63,-2,-2,88,29,-2,82,-2,38,52,0,0,75,0,-2,100,-2,43,-2,100,33,50,-2,52,25,63,-2,50,40,65,60,67,100,42,22,50,93,26,-2,-2,80,0,-2,0,-2,74,100,81,-2,46,-2,77,-2,33,100,73,33,-2,100,100,85,42,-2,100,68,83,-2,42,50,100,0,43,90,55,100,62,77,0,-2,-2,79,58
Yennefer,59,0,44,0,-2,0,0,-2,38,-2,22,50,44,0,50,-2,-2,-2,-2,0,-2,58,35,67,-2,57,0,75,-2,45,-2,56,80,46,61,50,73,-2,82,0,50,-2,-2,-2,-2,-2,-2,41,47,70,-2,39,0,24,-2,50,-2,44,0,64,42,0,60,50,-2,100,57,50,-2,88,0,-2,-2,38,67,44,80,40,42,-2,0,21,-2,21
Yennenga,42,38,16,0,-2,33,15,-2,38,-2,55,53,59,53,58,50,-2,33,-2,62,-2,37,64,44,-2,63,100,41,-2,49,60,18,83,41,40,37,77,50,47,7,0,-2,38,35,-2,-2,-2,55,21,60,-2,41,-2,26,-2,23,0,59,0,47,34,-2,44,22,-2,0,62,45,-2,92,20,0,33,37,55,30,13,25,33,67,0,42,79,-2
